params: score_limit=14, eVal_upper_limit=3, align_min_limit=18, min_identity=60, matches=16, m_delta=99
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		269
col-34		454		0		349
let-2		309		1		282
col-157		145		1		292
col-117		120		0		306
col-3		120		0		306
col-139		120		0		291
emb-9		105		0		207
dpy-13		105		1		903
col-125		98		0		281
dpy-3		94		0		163
col-111		93		2		82
col-98		68		0		211
col-96		61		1		284
col-155		55		1		290
col-43		54		0		294
col-95		39		0		224
col-154	 	38		1		304
col-97		37		0		241
col-166		31		0		155
col-122		27		0		250
col-114		23		0		151
col-160		21		0		162
col-109 	19		0		137
col-107		17		0		162
col-85		13		0		193
col-44 		13		0		221
col-110		10		0		34
col-45		9		3		25
col-176		8		0		127
dpy-7		8		5		67
col-159	 	8		0		159
col-60		8		1		7
col-39		7		0		132
rol-8		7		0		153
col-119		7		0		250
col-38		7		0		101
col-183		6		0		199
col-48		6		0		167
col-101		5		0		149
col-63		5		0		113
col-180		5		0		152
col-170 	5		0		162
col-169 	5		0		150
col-167		4		0		153
col-165		4		0		75
col-164 	3		0		54
col-77		3		0		184
col-161		3		0		166
ram-2		3		0		139
col-88 		2		0		135
col-185 	2		1		189
col-126		2		0		123
col-127		2		0		123
col-2		2		0		264
col-90		2		0		147
col-187		2		1		0
col-83		2		1		0
col-13		2		0		152
col-146		2		0		128
col-171 	2		0		27
col-12		2		0		161
dpy-8		1		1		95
sqt-1		1		0		98
col-7		1		0		137
col-62		1		0		132
col-143		1		0		140
col-20		1		0		132
col-181 	1		0		148
col-178		1		0		124
col-73		1		0		184
col-147		1		0		121
col-149		1		0		104
gna-1 		1		0		0
bli-1		1		0		20
col-186		1		1		5
col-153		1		0		9
col-89		1		0		118
dpy-5		1		0		92
col-163		1		0		0
col-174		1		2		33
col-9		1		0		69
col-121		1		0		11
col-177		1		0		3
col-84		1		0		64
col-182		1		0		103
col-40		1		0		154
col-86		1		0		15
col-80		1		0		236
col-33		1		0		151
col-81		1		0		111
col-130		1		0		151
col-118		1		0		78
col-19		1		0		106
col-91		1		0		80
col-35		1		1		88
col-129		0		0		141
col-140		0		0		149
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		106
col-68		0		0		72
col-158		0		0		99
col-17		0		0		191
col-41 		0		0		155
dpy-9 		0		0		53
col-50		0		0		82
lon-3 		0		0		5
col-141		0		0		136
col-104		0		1		104
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		19
col-49		0		0		67
col-51		0		0		123
col-179 	0		0		120
col-36		0		0		91
col-14		0		0		143
col-142		0		0		158
col-151		0		0		3
sqt-2		0		0		89
col-61		0		0		10
col-79		0		0		19
col-148		0		0		18
col-102		0		0		134
col-175 	0		0		58
cle-1		0		0		17
col-131 	0		0		8
col-132 	0		0		82
col-138		0		0		185
col-128 	0		0		10
col-184 	0		0		128
col-152 	0		0		16
col-54 		0		0		51
col-172 	0		0		6
col-173 	0		0		18
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		9
col-75 		0		0		0
col-53 		0		0		5
col-76 		0		0		3
col-135 	0		0		13
rol-6		0		0		104
col-78 		0		0		0
col-123 	0		0		27
col-72 		0		0		22
col-87 		0		0		10
col-37 		0		0			121
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
csn-4	4
Y54B9A.1	298
C02B10.5	8
Y105E8A.43	15
B0041.10	31
xpf-1	6
clec-223	18
col-55	39
clec-222	41
Y80D3A.15	1
W10G11.23	8
col-94	288
F27B3.8	6
Y69H2.19	5
ZC123.10	162
glb-25	4
Y43F8B.27	15
F57F4.2	2
T16H12.3	3
Y57A10A.40	52
mat-1	6
mmcm-1	4
col-162	155
col-65	91
let-526	28
F47G4.11	162
Y92C3A.8	2
2RSSE.1	9
coq-8	3
Y51A2D.37	162
glo-1	2
F56E10.6	4
F19B10.5	6
col-92	273
col-74	109
T28F2.1	3
T27F6.1	5
T05E12.9	5
ceh-54	8
W03F9.4	2
Y53F4B.21	5
col-108	96
Y71G12B.13	11
col-144	170
Y116F11B.20	8
hmit-1.1	5
Y105E8A.39	95
col-10	170
Y41C4A.28	2
F31D4.11	284
Y51F10.12	15
ttn-1	1
C05D2.16	3
Y39A3A.8	8
Y69H2.24	227
nduf-5	4
col-145	182
skp-1	6
T23F6.1	8
col-133	237
F43D9.11	246
F35B12.9	8
D1005.8	9
B0393.3	10
bli-6	172
col-52	10
T01D3.1	5
bli-2	76
col-93	274
gnrr-5	4
haf-3	8
F13E9.8	10
F40H3.11	16
Y49E10.31	3
ego-2	5
col-168	153
C47E12.14	6
prp-6	17
tfg-1	3
set-16	9
Y48G9A.17	9
col-103	212
vha-17	8
clx-1	8
ten-1	8
col-99	49
dpy-10	46
eif-1.A	11
itsn-1	5
col-113	80
col-124	250
emb-4	8
T01D1.4	5
unc-89	8
C25E10.7	1
F47G4.12	130
R166.10	7
D1005.9	8
col-106	49
mlt-7	9
K11D2.5	9
hpo-35	3
col-42	173
let-711	3
B0454.13	8
B0524.9	9
dpy-14	68
C29F5.8	7
ggr-2	6
mig-17	6
Y105E8A.44	225
sra-28	12
Y51A2D.28	957
Y51A2D.36	84
Y105E8A.42	216
col-58	51
dpy-2	78
M03E7.3	4
swsn-7	15
nono-1	18
col-137	110
sec-24.1	20
fmi-1	6
Y82E9BR.26	8
col-115	54
htz-1	29
F59H5.5	1
Y53C10A.10	12
W03D8.11	9
C42D8.1	8
ZK484.5	6
unc-22	31
tbc-20	8
Y59A8B.36	17
sra-14	10
T04D3.9	1
rol-1	31
shk-1	4
mog-4	7
Y57G11B.6	5
unc-13	7
F14D1.2	62
C35B1.4	7
exc-6	9
K07C11.7	7
col-71	70
F13E9.15	9
istr-1	8
hum-2	5
Y75B8A.50	8
T25B9.3	3
Y41C4A.23	16
C43D7.17	1
ZC123.8	8
F14H12.3	6
col-116	5
C28C12.4	6
Y47H9C.20	13
M70.4	1
col-8	52
Y105E8A.45	9
pab-1	6
Y53H1C.6	1
twk-43	3
C05D9.4	3
npp-3	9
cut-1	9
dpy-4	286
mca-3	5
lgc-10	6
H28G03.9	5
K03E5.7	9
pqn-70	16
dpy-17	72
col-120	18
Y113G7A.20	212
mtch-1	4
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 9 genes from excel that D>=99
** 47 Got off off targets (hits for a gene that his D<=0)
*** 177 extra genes
