params: score_limit=16, eVal_upper_limit=4, align_min_limit=16, min_identity=80, matches=18, m_delta=99
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		230
col-34		454		0		277
let-2		309		1		192
col-157		145		1		256
col-117		120		0		260
col-3		120		0		260
col-139		120		0		212
emb-9		105		0		134
dpy-13		105		1		901
col-125		98		0		241
dpy-3		94		0		94
col-111		93		2		48
col-98		68		0		154
col-96		61		1		235
col-155		55		1		238
col-43		54		0		249
col-95		39		0		191
col-154	 	38		1		252
col-97		37		0		189
col-166		31		0		98
col-122		27		0		208
col-114		23		0		107
col-160		21		0		130
col-109 	19		0		108
col-107		17		0		111
col-85		13		0		163
col-44 		13		0		189
col-110		10		0		19
col-45		9		3		14
col-176		8		0		82
dpy-7		8		5		28
col-159	 	8		0		110
col-60		8		1		1
col-39		7		0		101
rol-8		7		0		120
col-119		7		0		214
col-38		7		0		58
col-183		6		0		161
col-48		6		0		101
col-101		5		0		92
col-63		5		0		69
col-180		5		0		87
col-170 	5		0		95
col-169 	5		0		90
col-167		4		0		91
col-165		4		0		57
col-164 	3		0		23
col-77		3		0		161
col-161		3		0		126
ram-2		3		0		82
col-88 		2		0		85
col-185 	2		1		155
col-126		2		0		93
col-127		2		0		93
col-2		2		0		205
col-90		2		0		80
col-187		2		1		0
col-83		2		1		0
col-13		2		0		104
col-146		2		0		71
col-171 	2		0		18
col-12		2		0		110
dpy-8		1		1		68
sqt-1		1		0		47
col-7		1		0		110
col-62		1		0		106
col-143		1		0		103
col-20		1		0		84
col-181 	1		0		102
col-178		1		0		86
col-73		1		0		152
col-147		1		0		89
col-149		1		0		53
gna-1 		1		0		0
bli-1		1		0		14
col-186		1		1		0
col-153		1		0		4
col-89		1		0		59
dpy-5		1		0		60
col-163		1		0		0
col-174		1		2		10
col-9		1		0		25
col-121		1		0		1
col-177		1		0		1
col-84		1		0		25
col-182		1		0		54
col-40		1		0		114
col-86		1		0		0
col-80		1		0		183
col-33		1		0		95
col-81		1		0		78
col-130		1		0		109
col-118		1		0		60
col-19		1		0		81
col-91		1		0		54
col-35		1		1		61
col-129		0		0		110
col-140		0		0		115
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		75
col-68		0		0		42
col-158		0		0		65
col-17		0		0		164
col-41 		0		0		105
dpy-9 		0		0		12
col-50		0		0		49
lon-3 		0		0		0
col-141		0		0		93
col-104		0		1		55
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		3
col-49		0		0		26
col-51		0		0		91
col-179 	0		0		79
col-36		0		0		53
col-14		0		0		82
col-142		0		0		132
col-151		0		0		1
sqt-2		0		0		62
col-61		0		0		8
col-79		0		0		1
col-148		0		0		4
col-102		0		0		88
col-175 	0		0		19
cle-1		0		0		4
col-131 	0		0		0
col-132 	0		0		47
col-138		0		0		112
col-128 	0		0		8
col-184 	0		0		85
col-152 	0		0		1
col-54 		0		0		30
col-172 	0		0		4
col-173 	0		0		6
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		5
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		2
col-135 	0		0		0
rol-6		0		0		53
col-78 		0		0		0
col-123 	0		0		19
col-72 		0		0		13
col-87 		0		0		2
col-37 		0		0			64
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y54B9A.1	249
let-526	13
Y105E8A.42	165
B0041.10	23
xpf-1	5
clec-223	7
col-55	31
clec-222	22
col-144	111
dpy-2	55
ZC123.10	111
Y57A10A.40	21
Y105E8A.43	8
mat-1	4
npp-3	7
col-124	223
col-65	46
col-42	137
2RSSE.1	7
F19B10.5	4
F56E10.6	3
Y51A2D.37	111
col-74	57
T28F2.1	2
col-52	5
F13E9.8	8
ceh-54	7
col-108	61
Y71G12B.13	10
set-16	7
unc-22	26
vha-17	7
Y105E8A.39	53
col-10	111
F31D4.11	235
Y113G7A.20	154
C05D2.16	1
Y69H2.24	192
col-145	138
skp-1	5
col-133	186
F43D9.11	194
Y51A2D.28	955
D1005.8	7
B0393.3	8
col-94	232
Y51A2D.36	63
F47G4.12	68
dpy-17	27
col-93	205
ggr-2	5
Y49E10.31	2
col-168	91
prp-6	12
tfg-1	1
Y48G9A.17	8
col-103	177
col-99	25
dpy-10	21
eif-1.A	9
col-113	51
col-92	219
clx-1	7
mlt-7	1
K11D2.5	7
col-137	87
let-711	1
C28C12.4	4
Y105E8A.44	158
sra-28	7
col-58	34
F27B3.8	4
dpy-14	29
sec-24.1	6
fmi-1	5
htz-1	26
Y53C10A.10	8
W03D8.11	7
C42D8.1	7
K03E5.7	9
Y59A8B.36	12
sra-14	8
rol-1	23
col-115	25
col-120	8
F14D1.2	23
C35B1.4	5
exc-6	9
col-71	50
csn-4	3
F13E9.15	7
bli-2	45
Y41C4A.23	1
Y51F10.12	8
F47G4.11	111
bli-6	139
col-8	21
Y105E8A.45	3
pab-1	4
col-106	26
B0524.9	7
C05D9.4	2
cut-1	9
dpy-4	219
lgc-10	1
H28G03.9	3
pqn-70	6
col-162	116
mtch-1	3
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 9 genes from excel that D>=99
** 42 Got off off targets (hits for a gene that his D<=0)
*** 109 extra genes
