params: score_limit=16, eVal_upper_limit=4, align_min_limit=20, min_identity=80, matches=16, m_delta=7
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		202
col-34		454		0		256
let-2		309		1		167
col-157		145		1		243
col-117		120		0		238
col-3		120		0		238
col-139		120		0		193
emb-9		105		0		111
dpy-13		105		1		893
col-125		98		0		218
dpy-3		94		0		85
col-111		93		2		40
col-98		68		0		122
col-96		61		1		202
col-155		55		1		223
col-43		54		0		229
col-95		39		0		168
col-154	 	38		1		234
col-97		37		0		139
col-166		31		0		86
col-122		27		0		176
col-114		23		0		100
col-160		21		0		122
col-109 	19		0		97
col-107		17		0		99
col-85		13		0		144
col-44 		13		0		157
col-110		10		0		19
col-45		9		3		12
col-176		8		0		68
dpy-7		8		5		27
col-159	 	8		0		100
col-60		8		1		1
col-39		7		0		88
rol-8		7		0		101
col-119		7		0		200
col-38		7		0		56
col-183		6		0		148
col-48		6		0		94
col-101		5		0		83
col-63		5		0		63
col-180		5		0		79
col-170 	5		0		83
col-169 	5		0		80
col-167		4		0		79
col-165		4		0		45
col-164 	3		0		14
col-77		3		0		147
col-161		3		0		117
ram-2		3		0		78
col-88 		2		0		79
col-185 	2		1		147
col-126		2		0		80
col-127		2		0		80
col-2		2		0		185
col-90		2		0		65
col-187		2		1		0
col-83		2		1		0
col-13		2		0		97
col-146		2		0		69
col-171 	2		0		14
col-12		2		0		103
dpy-8		1		1		56
sqt-1		1		0		34
col-7		1		0		85
col-62		1		0		81
col-143		1		0		95
col-20		1		0		69
col-181 	1		0		74
col-178		1		0		66
col-73		1		0		125
col-147		1		0		87
col-149		1		0		49
gna-1 		1		0		0
bli-1		1		0		13
col-186		1		1		0
col-153		1		0		4
col-89		1		0		57
dpy-5		1		0		52
col-163		1		0		0
col-174		1		2		3
col-9		1		0		25
col-121		1		0		1
col-177		1		0		1
col-84		1		0		23
col-182		1		0		43
col-40		1		0		106
col-86		1		0		0
col-80		1		0		159
col-33		1		0		85
col-81		1		0		66
col-130		1		0		101
col-118		1		0		49
col-19		1		0		64
col-91		1		0		46
col-35		1		1		43
col-129		0		0		93
col-140		0		0		90
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		70
col-68		0		0		35
col-158		0		0		57
col-17		0		0		136
col-41 		0		0		89
dpy-9 		0		0		12
col-50		0		0		48
lon-3 		0		0		0
col-141		0		0		89
col-104		0		1		48
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		3
col-49		0		0		26
col-51		0		0		85
col-179 	0		0		59
col-36		0		0		35
col-14		0		0		69
col-142		0		0		105
col-151		0		0		1
sqt-2		0		0		51
col-61		0		0		6
col-79		0		0		1
col-148		0		0		4
col-102		0		0		85
col-175 	0		0		19
cle-1		0		0		4
col-131 	0		0		0
col-132 	0		0		42
col-138		0		0		90
col-128 	0		0		0
col-184 	0		0		73
col-152 	0		0		1
col-54 		0		0		26
col-172 	0		0		4
col-173 	0		0		6
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		5
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		2
col-135 	0		0		0
rol-6		0		0		48
col-78 		0		0		0
col-123 	0		0		15
col-72 		0		0		13
col-87 		0		0		2
col-37 		0		0			60
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y54B9A.1	229
let-526	13
Y105E8A.42	148
B0041.10	21
col-55	28
clec-222	22
col-144	107
dpy-2	47
Y41C4A.23	1
eif-1.A	7
Y57A10A.40	21
Y105E8A.43	8
mat-1	4
col-124	205
col-65	36
col-42	120
F19B10.5	4
Y51A2D.37	99
col-74	48
T28F2.1	2
col-52	5
F13E9.8	8
ceh-54	7
col-108	54
Y71G12B.13	10
set-16	7
unc-22	24
vha-17	6
Y105E8A.39	48
col-10	107
F31D4.11	202
Y113G7A.20	122
col-115	19
C05D2.16	1
Y69H2.24	169
col-145	134
col-133	174
F43D9.11	139
Y51A2D.28	947
B0393.3	6
col-94	217
Y51A2D.36	57
F47G4.12	61
dpy-17	23
col-93	192
Y49E10.31	2
col-168	79
prp-6	12
tfg-1	1
Y48G9A.17	8
col-103	162
col-99	8
dpy-10	17
col-113	44
col-92	205
clx-1	6
mlt-7	1
col-137	78
let-711	1
dpy-14	17
C28C12.4	4
B0524.9	7
Y105E8A.44	141
sra-28	7
col-58	31
F27B3.8	4
sec-24.1	6
fmi-1	5
htz-1	24
Y53C10A.10	8
C42D8.1	7
ZC123.10	99
sra-14	4
rol-1	21
Y59A8B.36	12
col-120	8
F14D1.2	14
C35B1.4	5
exc-6	8
col-71	44
bli-2	34
Y51F10.12	8
F47G4.11	99
bli-6	110
col-8	21
pab-1	4
col-106	24
C05D9.4	2
dpy-4	200
lgc-10	1
pqn-70	6
col-162	106
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 35 genes from excel that D>=7
** 41 Got off off targets (hits for a gene that his D<=0)
*** 92 extra genes
