params: score_limit=14, eVal_upper_limit=4, align_min_limit=16, min_identity=60, matches=16, m_delta=99
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		346
col-34		454		0		417
let-2		309		1		349
col-157		145		1		353
col-117		120		0		365
col-3		120		0		365
col-139		120		0		355
emb-9		105		0		261
dpy-13		105		1		907
col-125		98		0		339
dpy-3		94		0		216
col-111		93		2		124
col-98		68		0		292
col-96		61		1		347
col-155		55		1		367
col-43		54		0		337
col-95		39		0		276
col-154	 	38		1		378
col-97		37		0		291
col-166		31		0		247
col-122		27		0		314
col-114		23		0		218
col-160		21		0		200
col-109 	19		0		179
col-107		17		0		202
col-85		13		0		226
col-44 		13		0		263
col-110		10		0		61
col-45		9		3		32
col-176		8		0		206
dpy-7		8		5		105
col-159	 	8		0		197
col-60		8		1		28
col-39		7		0		180
rol-8		7		0		200
col-119		7		0		319
col-38		7		0		127
col-183		6		0		273
col-48		6		0		208
col-101		5		0		203
col-63		5		0		143
col-180		5		0		224
col-170 	5		0		250
col-169 	5		0		235
col-167		4		0		241
col-165		4		0		121
col-164 	3		0		69
col-77		3		0		220
col-161		3		0		206
ram-2		3		0		202
col-88 		2		0		175
col-185 	2		1		238
col-126		2		0		174
col-127		2		0		174
col-2		2		0		314
col-90		2		0		200
col-187		2		1		0
col-83		2		1		6
col-13		2		0		187
col-146		2		0		166
col-171 	2		0		103
col-12		2		0		202
dpy-8		1		1		119
sqt-1		1		0		176
col-7		1		0		197
col-62		1		0		189
col-143		1		0		194
col-20		1		0		190
col-181 	1		0		194
col-178		1		0		186
col-73		1		0		241
col-147		1		0		192
col-149		1		0		143
gna-1 		1		0		0
bli-1		1		0		28
col-186		1		1		7
col-153		1		0		14
col-89		1		0		149
dpy-5		1		0		153
col-163		1		0		0
col-174		1		2		55
col-9		1		0		103
col-121		1		0		18
col-177		1		0		7
col-84		1		0		103
col-182		1		0		156
col-40		1		0		222
col-86		1		0		13
col-80		1		0		286
col-33		1		0		222
col-81		1		0		166
col-130		1		0		179
col-118		1		0		113
col-19		1		0		172
col-91		1		0		125
col-35		1		1		129
col-129		0		0		200
col-140		0		0		200
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		158
col-68		0		0		130
col-158		0		0		148
col-17		0		0		252
col-41 		0		0		207
dpy-9 		0		0		87
col-50		0		0		142
lon-3 		0		0		30
col-141		0		0		182
col-104		0		1		141
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		58
col-49		0		0		98
col-51		0		0		162
col-179 	0		0		185
col-36		0		0		141
col-14		0		0		194
col-142		0		0		222
col-151		0		0		11
sqt-2		0		0		121
col-61		0		0		18
col-79		0		0		50
col-148		0		0		23
col-102		0		0		179
col-175 	0		0		105
cle-1		0		0		23
col-131 	0		0		10
col-132 	0		0		139
col-138		0		0		239
col-128 	0		0		16
col-184 	0		0		176
col-152 	0		0		32
col-54 		0		0		83
col-172 	0		0		26
col-173 	0		0		38
fipr-21 	0		0		0
col-64 		0		1		3
srxa-2		0		0		0
col-105		0		0		9
col-70 		0		0		0
col-69 		0		0		15
col-75 		0		0		3
col-53 		0		0		7
col-76 		0		0		24
col-135 	0		0		24
rol-6		0		0		160
col-78 		0		0		0
col-123 	0		0		50
col-72 		0		0		31
col-87 		0		0		12
col-37 		0		0			165
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
T02C5.1	3
anr-47	3
C50F7.5	9
clx-1	23
col-56	6
Y48C3A.5	6
nfi-1	9
xpf-1	7
Y6B3B.9	5
F10D7.5	4
srx-85	6
Y54B9A.1	346
clec-222	51
C48B6.2	5
pus-1	5
nduf-5	10
W10G11.23	10
dpy-2	115
H03A11.1	6
Y41C4A.23	20
glb-25	5
unc-83	9
C15H9.4	5
mom-2	6
T16H12.3	4
F49C12.15	6
Y116F11B.23	6
F53B3.8	3
Y47H9C.17	5
T26F2.1	15
set-25	3
mmcm-1	5
col-162	200
col-65	132
let-526	36
W09D6.1	9
col-42	224
2RSSE.1	11
catp-8	6
rsef-1	9
B0041.10	76
K07A3.3	9
rae-1	9
grl-11	5
col-74	170
pqn-15	4
T27F6.1	7
ceh-54	11
Y105E8A.37	9
F15D4.5	9
dpy-4	386
Y71H2B.5	6
F40F8.5	7
D2030.14	25
col-144	220
set-16	17
rig-4	5
M151.7	6
Y116F11B.20	13
cab-1	9
unc-22	40
hmit-1.2	9
nsf-1	9
C43D7.17	2
Y105E8A.28	3
Y41C4A.28	4
F31D4.11	356
Y56A3A.28	5
M05D6.2	3
ttn-1	4
ogdh-1	10
Y39A3A.8	11
K02E2.6	6
ttr-6	6
col-55	70
htz-1	51
T23F6.1	10
Y22D7AR.17	5
acl-5	5
Y75B8A.48	9
F35B12.9	10
Y105E8A.48	9
Y49F6B.16	3
B0393.3	11
grh-1	9
Y75B8A.13	9
vps-4	14
dpy-17	127
col-93	348
haf-3	10
ego-2	7
unc-31	3
F07E5.5	6
glo-1	3
C47E12.14	7
prp-6	18
col-103	253
ZK666.2	18
unc-13	8
Y55B1AR.2	5
C34H3.7	9
phat-5	14
col-113	118
cul-2	5
vha-17	13
Y69H2.19	17
cyk-1	3
D1005.9	13
Y38H6C.16	10
Y67D8B.3	3
Y39A3A.9	5
Y41E3.11	6
ten-1	9
let-711	14
F38E9.6	5
spe-15	6
C25E10.7	4
ggr-2	7
sphk-1	9
abhd-5.1	5
mig-17	6
Y105E8A.44	312
ZC449.4	6
K03H1.13	5
Y51A2D.36	119
rol-1	76
pcyt-1	5
Y39B6A.1	6
sec-24.1	28
fmi-1	7
Y73E7A.3	2
sdhb-1	9
T26C11.4	9
pdhk-2	4
Y22D7AR.18	6
R04B5.5	2
srh-181	10
ZK1025.13	2
C38C6.5	6
F43D9.11	296
T07A9.8	3
B0001.2	9
nono-1	39
col-115	84
shk-1	5
mog-4	8
Y57G11B.6	5
Y54G9A.13	9
F41G4.7	6
C35B1.4	9
col-71	96
H09F14.1	9
unc-89	10
Y105E8A.42	291
istr-1	10
hum-2	7
lin-38	12
Y16B4A.2	9
cct-4	6
wrt-1	10
Y37A1A.4	3
R10D12.15	15
Y71H2B.2	9
col-116	28
F28D1.6	9
F53F10.1	6
alfa-1	3
M151.9	6
Y105E8A.45	12
lam-2	11
npr-28	9
Y19D10A.4	5
npp-3	11
cut-1	13
srh-120	4
lgc-10	8
F38A1.13	1
K03E5.7	18
pqn-70	24
mca-3	16
col-120	43
mtch-1	5
F39D8.3	6
T05F1.11	9
nas-10	4
smg-8	10
Y105E8A.43	20
F59H5.5	23
T01H3.2	9
bli-2	120
cpna-4	6
Y51A2D.29	5
Y47D3B.17	9
vig-1	3
H06I04.11	10
Y75B8A.50	24
dpy-10	74
Y113G7A.20	302
F13E9.8	18
Y43F8B.27	27
F57F4.2	4
Y57A10A.40	101
mat-1	11
Y43F8B.3	7
Y42H9AR.4	7
F46F11.1	5
F09C3.8	5
K01A6.6	8
col-124	325
sprr-3	5
C02B10.5	10
T22C1.6	6
F47G4.11	207
coq-8	3
atad-3	10
dpf-3	2
figl-1	11
dop-6	2
Y51A2D.37	202
srgp-1	6
M7.10	10
klp-4	18
F56E10.6	5
F19B10.5	11
C05D2.16	5
emb-4	10
skp-1	15
T28F2.1	4
col-52	12
T05E12.9	6
col-108	160
Y71G12B.13	19
K07E8.14	9
mdt-29	9
pssy-2	9
unc-94	9
Y105E8A.39	161
F14H12.3	10
col-10	220
F49D11.6	5
Y51F10.12	22
rpt-6	4
Y69H2.24	303
mcd-1	9
lpr-4	13
col-145	238
hpo-11	5
Y60C6A.1	3
cnt-1	9
let-805	10
ZK1025.11	6
col-133	284
Y54F10AM.13	10
Y41D4B.6	5
D1005.8	29
col-94	355
F54D12.21	7
F25F6.3	2
F47G4.12	191
mec-14	6
T01D3.1	10
C06G1.6	9
Y51A2D.28	961
Y75B8A.24	5
phb-1	9
C23H5.10	27
F40H3.11	20
Y49E10.31	26
col-168	241
tfg-1	5
Y48G9A.17	13
ZK970.7	8
W03F9.4	4
pezo-1	5
cand-1	9
col-99	72
C46G7.1	6
eif-1.A	12
itsn-1	16
col-8	98
cof-2	3
col-92	341
T01D1.4	7
ZK430.5	8
Y53F4B.21	6
gnrr-5	10
Y92C3A.8	4
F32D8.3	10
C24A8.6	2
T05F1.2	3
R166.10	9
Y113G7C.1	18
F27C1.11	3
twk-43	4
mlt-7	11
K11D2.5	11
hpo-35	4
pph-5	5
col-137	160
B0454.13	28
dpy-14	100
C28C12.4	11
ser-2	5
gsp-1	10
C01B4.7	5
taf-12	9
sra-28	14
R05G6.10	5
R02F11.4	5
dkf-2	5
nhr-46	9
col-58	69
F27B3.8	35
Y47D3B.3	1
F23B2.7	9
M03E7.3	5
swsn-7	17
hmit-1.1	7
Y53F4B.45	9
arid-1	6
srg-33	6
Y53C10A.10	22
W03D8.11	11
C42D8.1	11
ZK484.5	7
C56C10.10	18
ZC123.10	207
tbc-20	19
chc-1	3
sra-14	17
T04D3.9	2
F37H8.3	5
Y59A8B.36	18
cdc-48.2	9
T25B9.9	6
W04D2.8	3
Y41C4A.9	9
ruvb-1	4
mnp-1	5
dnc-5	3
Y82E9BR.26	10
M199.9	27
F14D1.2	93
exc-6	9
K07C11.7	9
Y80D3A.15	2
csn-4	5
Y47H9C.20	15
clec-223	28
fbxa-104	3
T25B9.3	4
F23H11.6	5
srw-109	5
C52E12.1	3
bet-2	5
ZC123.8	10
BE10.7	12
riok-1	5
Y41C4A.29	9
T06F4.5	20
bli-6	249
M70.4	2
trcs-2	6
F15B9.10	9
pab-1	7
col-106	92
Y53H1C.6	2
W09C5.15	9
B0524.9	10
C05D9.4	3
mec-5	16
sra-37	9
Y50D4C.3	5
F13E9.15	11
mdt-9	9
H28G03.9	6
C02E7.17	3
C29F5.8	8
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 9 genes from excel that D>=99
** 49 Got off off targets (hits for a gene that his D<=0)
*** 378 extra genes
