params: score_limit=14, eVal_upper_limit=3, align_min_limit=20, min_identity=80, matches=16, m_delta=19
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		234
col-34		454		0		314
let-2		309		1		209
col-157		145		1		268
col-117		120		0		282
col-3		120		0		282
col-139		120		0		239
emb-9		105		0		170
dpy-13		105		1		894
col-125		98		0		253
dpy-3		94		0		141
col-111		93		2		70
col-98		68		0		164
col-96		61		1		242
col-155		55		1		259
col-43		54		0		261
col-95		39		0		187
col-154	 	38		1		272
col-97		37		0		171
col-166		31		0		119
col-122		27		0		217
col-114		23		0		132
col-160		21		0		144
col-109 	19		0		116
col-107		17		0		145
col-85		13		0		173
col-44 		13		0		182
col-110		10		0		34
col-45		9		3		16
col-176		8		0		107
dpy-7		8		5		49
col-159	 	8		0		131
col-60		8		1		7
col-39		7		0		114
rol-8		7		0		120
col-119		7		0		232
col-38		7		0		83
col-183		6		0		173
col-48		6		0		123
col-101		5		0		128
col-63		5		0		96
col-180		5		0		123
col-170 	5		0		122
col-169 	5		0		116
col-167		4		0		117
col-165		4		0		65
col-164 	3		0		26
col-77		3		0		165
col-161		3		0		144
ram-2		3		0		124
col-88 		2		0		100
col-185 	2		1		171
col-126		2		0		107
col-127		2		0		107
col-2		2		0		217
col-90		2		0		107
col-187		2		1		0
col-83		2		1		0
col-13		2		0		128
col-146		2		0		113
col-171 	2		0		14
col-12		2		0		137
dpy-8		1		1		70
sqt-1		1		0		74
col-7		1		0		103
col-62		1		0		98
col-143		1		0		122
col-20		1		0		97
col-181 	1		0		90
col-178		1		0		88
col-73		1		0		151
col-147		1		0		110
col-149		1		0		81
gna-1 		1		0		0
bli-1		1		0		18
col-186		1		1		5
col-153		1		0		6
col-89		1		0		92
dpy-5		1		0		81
col-163		1		0		0
col-174		1		2		21
col-9		1		0		54
col-121		1		0		11
col-177		1		0		3
col-84		1		0		54
col-182		1		0		76
col-40		1		0		135
col-86		1		0		7
col-80		1		0		209
col-33		1		0		114
col-81		1		0		95
col-130		1		0		137
col-118		1		0		60
col-19		1		0		81
col-91		1		0		65
col-35		1		1		64
col-129		0		0		121
col-140		0		0		112
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		96
col-68		0		0		59
col-158		0		0		80
col-17		0		0		162
col-41 		0		0		124
dpy-9 		0		0		53
col-50		0		0		73
lon-3 		0		0		5
col-141		0		0		114
col-104		0		1		79
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		19
col-49		0		0		54
col-51		0		0		106
col-179 	0		0		84
col-36		0		0		75
col-14		0		0		118
col-142		0		0		125
col-151		0		0		3
sqt-2		0		0		75
col-61		0		0		6
col-79		0		0		3
col-148		0		0		18
col-102		0		0		120
col-175 	0		0		50
cle-1		0		0		5
col-131 	0		0		0
col-132 	0		0		66
col-138		0		0		110
col-128 	0		0		2
col-184 	0		0		101
col-152 	0		0		8
col-54 		0		0		40
col-172 	0		0		12
col-173 	0		0		18
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		9
col-75 		0		0		0
col-53 		0		0		5
col-76 		0		0		3
col-135 	0		0		5
rol-6		0		0		89
col-78 		0		0		0
col-123 	0		0		19
col-72 		0		0		22
col-87 		0		0		3
col-37 		0		0			103
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y113G7A.20	165
Y54B9A.1	261
Y105E8A.43	8
B0041.10	28
bli-2	57
col-55	34
clec-222	38
bli-6	135
col-144	148
dpy-2	67
Y41C4A.23	3
Y43F8B.27	15
T16H12.3	3
Y57A10A.40	39
mat-1	6
Y51A2D.28	948
col-162	130
col-65	70
let-526	17
F47G4.11	145
coq-8	3
Y51A2D.37	145
F19B10.5	6
C05D2.16	3
col-74	83
T28F2.1	3
T27F6.1	5
T05E12.9	5
ceh-54	7
W03F9.4	2
dpy-4	256
F13E9.8	10
col-108	80
Y71G12B.13	11
unc-22	27
hmit-1.1	5
col-10	148
Y41C4A.28	2
F31D4.11	242
col-116	5
ttn-1	1
col-106	41
Y69H2.24	190
nduf-5	4
col-145	168
F59H5.5	1
col-133	200
F43D9.11	171
B0393.3	8
col-52	7
Y92C3A.8	2
T01D3.1	5
dpy-17	60
col-93	241
gnrr-5	4
ego-2	5
Y49E10.31	2
col-168	117
prp-6	13
tfg-1	3
set-16	9
Y48G9A.17	8
col-103	191
col-99	20
dpy-10	33
eif-1.A	7
itsn-1	5
col-113	59
col-124	228
col-92	247
C25E10.7	1
F47G4.12	105
mlt-7	2
clx-1	6
T01D1.4	5
hpo-35	3
col-137	91
col-42	152
let-711	3
B0524.9	7
dpy-14	45
C28C12.4	6
Y105E8A.44	193
sra-28	7
Y51A2D.36	72
Y105E8A.42	180
col-58	46
F27B3.8	6
nono-1	10
sec-24.1	20
fmi-1	6
vha-17	6
htz-1	25
Y53C10A.10	12
C42D8.1	7
ZK484.5	6
ZC123.10	145
Y59A8B.36	13
sra-14	5
T04D3.9	1
rol-1	28
col-115	47
shk-1	4
F14D1.2	26
C35B1.4	7
exc-6	8
col-71	56
clec-223	9
hum-2	5
F57F4.2	2
Y105E8A.39	69
C43D7.17	1
F14H12.3	6
Y51F10.12	8
M70.4	1
col-8	39
Y105E8A.45	5
pab-1	6
Y53H1C.6	1
C05D9.4	2
lgc-10	6
Y80D3A.15	1
pqn-70	8
mca-3	5
col-94	260
col-120	10
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 24 genes from excel that D>=19
** 46 Got off off targets (hits for a gene that his D<=0)
*** 126 extra genes
