params: score_limit=14, eVal_upper_limit=3, align_min_limit=16, min_identity=80, matches=16, m_delta=59
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		303
col-34		454		0		365
let-2		309		1		293
col-157		145		1		325
col-117		120		0		326
col-3		120		0		326
col-139		120		0		308
emb-9		105		0		219
dpy-13		105		1		907
col-125		98		0		305
dpy-3		94		0		166
col-111		93		2		94
col-98		68		0		240
col-96		61		1		308
col-155		55		1		318
col-43		54		0		309
col-95		39		0		251
col-154	 	38		1		336
col-97		37		0		253
col-166		31		0		190
col-122		27		0		266
col-114		23		0		175
col-160		21		0		175
col-109 	19		0		139
col-107		17		0		166
col-85		13		0		204
col-44 		13		0		242
col-110		10		0		34
col-45		9		3		25
col-176		8		0		158
dpy-7		8		5		70
col-159	 	8		0		172
col-60		8		1		7
col-39		7		0		143
rol-8		7		0		166
col-119		7		0		273
col-38		7		0		105
col-183		6		0		221
col-48		6		0		179
col-101		5		0		164
col-63		5		0		113
col-180		5		0		170
col-170 	5		0		192
col-169 	5		0		171
col-167		4		0		183
col-165		4		0		89
col-164 	3		0		54
col-77		3		0		192
col-161		3		0		173
ram-2		3		0		160
col-88 		2		0		142
col-185 	2		1		215
col-126		2		0		131
col-127		2		0		131
col-2		2		0		271
col-90		2		0		147
col-187		2		1		0
col-83		2		1		0
col-13		2		0		160
col-146		2		0		131
col-171 	2		0		54
col-12		2		0		169
dpy-8		1		1		108
sqt-1		1		0		126
col-7		1		0		162
col-62		1		0		156
col-143		1		0		162
col-20		1		0		144
col-181 	1		0		161
col-178		1		0		162
col-73		1		0		216
col-147		1		0		148
col-149		1		0		109
gna-1 		1		0		0
bli-1		1		0		20
col-186		1		1		5
col-153		1		0		9
col-89		1		0		118
dpy-5		1		0		102
col-163		1		0		0
col-174		1		2		33
col-9		1		0		69
col-121		1		0		11
col-177		1		0		3
col-84		1		0		64
col-182		1		0		117
col-40		1		0		179
col-86		1		0		15
col-80		1		0		251
col-33		1		0		155
col-81		1		0		127
col-130		1		0		155
col-118		1		0		93
col-19		1		0		152
col-91		1		0		80
col-35		1		1		104
col-129		0		0		157
col-140		0		0		165
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		112
col-68		0		0		76
col-158		0		0		120
col-17		0		0		225
col-41 		0		0		159
dpy-9 		0		0		59
col-50		0		0		103
lon-3 		0		0		16
col-141		0		0		153
