params: score_limit=16, eVal_upper_limit=4, align_min_limit=20, min_identity=80, matches=20, m_delta=19
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		194
col-34		454		0		245
let-2		309		1		155
col-157		145		1		233
col-117		120		0		234
col-3		120		0		234
col-139		120		0		177
emb-9		105		0		100
dpy-13		105		1		893
col-125		98		0		215
dpy-3		94		0		78
col-111		93		2		36
col-98		68		0		115
col-96		61		1		187
col-155		55		1		214
col-43		54		0		215
col-95		39		0		156
col-154	 	38		1		212
col-97		37		0		130
col-166		31		0		69
col-122		27		0		160
col-114		23		0		95
col-160		21		0		102
col-109 	19		0		86
col-107		17		0		91
col-85		13		0		127
col-44 		13		0		147
col-110		10		0		19
col-45		9		3		10
col-176		8		0		57
dpy-7		8		5		15
col-159	 	8		0		88
col-60		8		1		1
col-39		7		0		74
rol-8		7		0		95
col-119		7		0		177
col-38		7		0		52
col-183		6		0		134
col-48		6		0		89
col-101		5		0		70
col-63		5		0		57
col-180		5		0		69
col-170 	5		0		67
col-169 	5		0		64
col-167		4		0		63
col-165		4		0		40
col-164 	3		0		12
col-77		3		0		136
col-161		3		0		108
ram-2		3		0		68
col-88 		2		0		67
col-185 	2		1		139
col-126		2		0		74
col-127		2		0		74
col-2		2		0		165
col-90		2		0		57
col-187		2		1		0
col-83		2		1		0
col-13		2		0		88
col-146		2		0		66
col-171 	2		0		7
col-12		2		0		94
dpy-8		1		1		43
sqt-1		1		0		28
col-7		1		0		78
col-62		1		0		73
col-143		1		0		93
col-20		1		0		67
col-181 	1		0		66
col-178		1		0		60
col-73		1		0		111
col-147		1		0		79
col-149		1		0		43
gna-1 		1		0		0
bli-1		1		0		9
col-186		1		1		0
col-153		1		0		4
col-89		1		0		51
dpy-5		1		0		51
col-163		1		0		0
col-174		1		2		3
col-9		1		0		25
col-121		1		0		1
col-177		1		0		1
col-84		1		0		17
col-182		1		0		39
col-40		1		0		91
col-86		1		0		0
col-80		1		0		148
col-33		1		0		75
col-81		1		0		61
col-130		1		0		79
col-118		1		0		46
col-19		1		0		47
col-91		1		0		37
col-35		1		1		40
col-129		0		0		83
col-140		0		0		84
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		61
col-68		0		0		35
col-158		0		0		51
col-17		0		0		123
col-41 		0		0		72
dpy-9 		0		0		12
col-50		0		0		46
lon-3 		0		0		0
col-141		0		0		83
col-104		0		1		37
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		3
col-49		0		0		26
col-51		0		0		76
col-179 	0		0		53
col-36		0		0		35
col-14		0		0		67
col-142		0		0		100
col-151		0		0		1
sqt-2		0		0		43
col-61		0		0		0
col-79		0		0		1
col-148		0		0		4
col-102		0		0		74
col-175 	0		0		19
cle-1		0		0		4
col-131 	0		0		0
col-132 	0		0		32
col-138		0		0		74
col-128 	0		0		0
col-184 	0		0		61
col-152 	0		0		1
col-54 		0		0		22
col-172 	0		0		4
col-173 	0		0		6
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		5
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		2
col-135 	0		0		0
rol-6		0		0		45
col-78 		0		0		0
col-123 	0		0		7
col-72 		0		0		13
col-87 		0		0		2
col-37 		0		0			58
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y54B9A.1	215
let-526	13
Y105E8A.42	128
B0041.10	15
col-55	22
clec-222	22
col-144	97
dpy-2	46
Y41C4A.23	1
F13E9.8	8
Y57A10A.40	21
Y105E8A.43	6
mat-1	4
col-124	186
col-65	36
col-42	101
F19B10.5	4
Y51A2D.37	91
col-74	42
T28F2.1	2
col-52	5
col-108	52
Y71G12B.13	10
set-16	7
unc-22	22
Y105E8A.39	35
col-10	97
F31D4.11	187
Y113G7A.20	115
C05D2.16	1
Y69H2.24	157
col-145	121
col-133	161
F43D9.11	130
Y51A2D.28	947
col-94	205
Y51A2D.36	55
F47G4.12	50
dpy-17	23
col-93	181
Y49E10.31	1
col-168	63
tfg-1	1
Y48G9A.17	6
col-103	151
col-99	2
dpy-10	17
eif-1.A	5
col-113	41
col-92	194
clx-1	5
mlt-7	1
col-137	72
let-711	1
dpy-14	17
C28C12.4	4
Y105E8A.44	131
sra-28	3
col-58	27
F27B3.8	4
sec-24.1	6
fmi-1	5
htz-1	22
Y53C10A.10	8
ZC123.10	91
sra-14	4
rol-1	15
col-115	17
col-120	8
F14D1.2	12
C35B1.4	5
exc-6	6
col-71	42
bli-2	31
Y51F10.12	6
F47G4.11	91
bli-6	106
col-8	21
pab-1	4
col-106	22
dpy-4	178
lgc-10	1
pqn-70	6
col-162	95
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 24 genes from excel that D>=19
** 40 Got off off targets (hits for a gene that his D<=0)
*** 84 extra genes
