params: score_limit=14, eVal_upper_limit=3, align_min_limit=20, min_identity=60, matches=20, m_delta=19
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		212
col-34		454		0		276
let-2		309		1		174
col-157		145		1		244
col-117		120		0		244
col-3		120		0		244
col-139		120		0		195
emb-9		105		0		129
dpy-13		105		1		894
col-125		98		0		228
dpy-3		94		0		102
col-111		93		2		41
col-98		68		0		138
col-96		61		1		216
col-155		55		1		228
col-43		54		0		237
col-95		39		0		166
col-154	 	38		1		234
col-97		37		0		143
col-166		31		0		79
col-122		27		0		184
col-114		23		0		107
col-160		21		0		109
col-109 	19		0		97
col-107		17		0		115
col-85		13		0		142
col-44 		13		0		153
col-110		10		0		25
col-45		9		3		14
col-176		8		0		79
dpy-7		8		5		24
col-159	 	8		0		99
col-60		8		1		7
col-39		7		0		84
rol-8		7		0		104
col-119		7		0		188
col-38		7		0		64
col-183		6		0		140
col-48		6		0		100
col-101		5		0		90
col-63		5		0		71
col-180		5		0		88
col-170 	5		0		78
col-169 	5		0		73
col-167		4		0		74
col-165		4		0		46
col-164 	3		0		17
col-77		3		0		146
col-161		3		0		122
ram-2		3		0		80
col-88 		2		0		72
col-185 	2		1		145
col-126		2		0		81
col-127		2		0		81
col-2		2		0		174
col-90		2		0		65
col-187		2		1		0
col-83		2		1		0
col-13		2		0		103
col-146		2		0		86
col-171 	2		0		7
col-12		2		0		112
dpy-8		1		1		49
sqt-1		1		0		40
col-7		1		0		86
col-62		1		0		79
col-143		1		0		102
col-20		1		0		78
col-181 	1		0		77
col-178		1		0		73
col-73		1		0		130
col-147		1		0		87
col-149		1		0		52
gna-1 		1		0		0
bli-1		1		0		11
col-186		1		1		1
col-153		1		0		6
col-89		1		0		67
dpy-5		1		0		66
col-163		1		0		0
col-174		1		2		11
col-9		1		0		47
col-121		1		0		2
col-177		1		0		3
col-84		1		0		25
col-182		1		0		57
col-40		1		0		101
col-86		1		0		2
col-80		1		0		169
col-33		1		0		87
col-81		1		0		78
col-130		1		0		101
col-118		1		0		54
col-19		1		0		54
col-91		1		0		53
col-35		1		1		50
col-129		0		0		105
col-140		0		0		95
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		71
col-68		0		0		49
col-158		0		0		54
col-17		0		0		139
col-41 		0		0		81
dpy-9 		0		0		21
col-50		0		0		64
lon-3 		0		0		0
col-141		0		0		93
col-104		0		1		52
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		9
col-49		0		0		37
col-51		0		0		87
col-179 	0		0		69
col-36		0		0		50
col-14		0		0		86
col-142		0		0		112
col-151		0		0		3
sqt-2		0		0		52
col-61		0		0		0
col-79		0		0		3
col-148		0		0		6
col-102		0		0		81
col-175 	0		0		29
cle-1		0		0		4
col-131 	0		0		0
col-132 	0		0		42
col-138		0		0		84
col-128 	0		0		2
col-184 	0		0		80
col-152 	0		0		4
col-54 		0		0		28
col-172 	0		0		4
col-173 	0		0		18
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		7
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		3
col-135 	0		0		0
rol-6		0		0		56
col-78 		0		0		0
col-123 	0		0		11
col-72 		0		0		16
col-87 		0		0		3
col-37 		0		0			72
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y54B9A.1	237
let-526	16
Y105E8A.42	144
B0041.10	21
clec-223	4
col-55	27
clec-222	26
coq-8	3
col-144	122
dpy-2	53
Y41C4A.23	3
F13E9.8	8
Y43F8B.27	4
sec-24.1	10
T16H12.3	3
Y57A10A.40	26
Y105E8A.43	6
mat-1	4
col-124	197
col-65	48
col-42	113
Y92C3A.8	2
F19B10.5	4
Y51A2D.37	115
C05D2.16	3
col-74	54
T28F2.1	2
W03F9.4	2
col-108	73
Y71G12B.13	11
set-16	7
unc-22	23
C43D7.17	1
col-10	122
Y41C4A.28	2
F31D4.11	216
ttn-1	1
Y113G7A.20	138
Y69H2.24	169
nduf-5	4
col-145	141
col-133	174
F43D9.11	143
col-94	219
Y51A2D.36	63
F47G4.12	63
dpy-17	36
col-93	197
gnrr-5	4
Y49E10.31	1
col-168	74
prp-6	1
tfg-1	3
Y48G9A.17	6
col-103	158
col-99	14
dpy-10	23
eif-1.A	5
col-113	41
col-92	208
pab-1	4
col-52	6
clx-1	5
T01D1.4	2
mlt-7	2
hpo-35	3
col-137	80
let-711	3
Y51A2D.28	948
C28C12.4	5
Y105E8A.44	167
sra-28	3
col-58	35
F27B3.8	5
dpy-14	28
fmi-1	6
col-115	30
htz-1	23
Y53C10A.10	10
ZK484.5	6
ZC123.10	115
sra-14	4
rol-1	21
Y59A8B.36	1
col-120	8
F14D1.2	17
C35B1.4	5
exc-6	6
col-71	47
bli-2	38
F57F4.2	2
Y105E8A.39	45
F14H12.3	6
Y51F10.12	6
F47G4.11	115
bli-6	119
M70.4	1
col-8	26
C25E10.7	1
col-106	25
Y53H1C.6	1
dpy-4	200
lgc-10	2
Y80D3A.15	1
pqn-70	6
col-162	108
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 24 genes from excel that D>=19
** 42 Got off off targets (hits for a gene that his D<=0)
*** 106 extra genes
