params: score_limit=14, eVal_upper_limit=4, align_min_limit=20, min_identity=60, matches=18, m_delta=7
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		263
col-34		454		0		348
let-2		309		1		248
col-157		145		1		294
col-117		120		0		319
col-3		120		0		319
col-139		120		0		271
emb-9		105		0		215
dpy-13		105		1		895
col-125		98		0		285
dpy-3		94		0		184
col-111		93		2		93
col-98		68		0		205
col-96		61		1		282
col-155		55		1		288
col-43		54		0		290
col-95		39		0		202
col-154	 	38		1		303
col-97		37		0		201
col-166		31		0		150
col-122		27		0		267
col-114		23		0		166
col-160		21		0		163
col-109 	19		0		145
col-107		17		0		177
col-85		13		0		198
col-44 		13		0		197
col-110		10		0		57
col-45		9		3		23
col-176		8		0		145
dpy-7		8		5		76
col-159	 	8		0		150
col-60		8		1		19
col-39		7		0		143
rol-8		7		0		139
col-119		7		0		270
col-38		7		0		100
col-183		6		0		208
col-48		6		0		150
col-101		5		0		159
col-63		5		0		124
col-180		5		0		162
col-170 	5		0		153
col-169 	5		0		148
col-167		4		0		147
col-165		4		0		90
col-164 	3		0		40
col-77		3		0		184
col-161		3		0		167
ram-2		3		0		166
col-88 		2		0		119
col-185 	2		1		192
col-126		2		0		136
col-127		2		0		136
col-2		2		0		245
col-90		2		0		138
col-187		2		1		0
col-83		2		1		6
col-13		2		0		150
col-146		2		0		144
col-171 	2		0		20
col-12		2		0		161
dpy-8		1		1		74
sqt-1		1		0		101
col-7		1		0		122
col-62		1		0		115
col-143		1		0		146
col-20		1		0		124
col-181 	1		0		105
col-178		1		0		108
col-73		1		0		176
col-147		1		0		137
col-149		1		0		110
gna-1 		1		0		0
bli-1		1		0		22
col-186		1		1		7
col-153		1		0		10
col-89		1		0		113
dpy-5		1		0		113
col-163		1		0		0
col-174		1		2		37
col-9		1		0		87
col-121		1		0		18
col-177		1		0		7
col-84		1		0		83
col-182		1		0		110
col-40		1		0		171
col-86		1		0		10
col-80		1		0		238
col-33		1		0		159
col-81		1		0		128
col-130		1		0		159
col-118		1		0		77
col-19		1		0		98
col-91		1		0		96
col-35		1		1		93
col-129		0		0		159
col-140		0		0		132
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		133
col-68		0		0		95
col-158		0		0		93
col-17		0		0		193
col-41 		0		0		160
dpy-9 		0		0		78
col-50		0		0		97
lon-3 		0		0		10
col-141		0		0		137
col-104		0		1		98
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		41
col-49		0		0		79
col-51		0		0		123
col-179 	0		0		107
col-36		0		0		107
col-14		0		0		146
col-142		0		0		145
col-151		0		0		4
sqt-2		0		0		92
col-61		0		0		12
col-79		0		0		13
col-148		0		0		23
col-102		0		0		145
col-175 	0		0		68
cle-1		0		0		9
col-131 	0		0		0
col-132 	0		0		101
col-138		0		0		145
col-128 	0		0		4
col-184 	0		0		133
col-152 	0		0		18
col-54 		0		0		53
col-172 	0		0		17
col-173 	0		0		33
fipr-21 	0		0		0
col-64 		0		1		3
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		15
col-75 		0		0		3
col-53 		0		0		7
col-76 		0		0		16
col-135 	0		0		14
rol-6		0		0		118
col-78 		0		0		0
col-123 	0		0		23
col-72 		0		0		29
col-87 		0		0		4
col-37 		0		0			138
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
T02C5.1	3
anr-47	3
Y54B9A.1	290
col-56	6
Y48C3A.5	6
srx-85	6
col-55	56
clec-222	48
chc-1	3
nduf-5	6
col-144	179
dpy-2	84
H03A11.1	6
ZC123.10	177
mom-2	6
T16H12.3	4
F41G4.7	6
C38C6.5	6
F53B3.8	3
col-162	157
col-65	115
C52E12.1	3
col-42	180
catp-8	6
B0041.10	46
Y116F11B.23	6
grl-11	3
col-74	104
T27F6.1	7
col-94	295
ceh-54	7
W03F9.4	4
dpy-4	299
Y71H2B.5	6
F40F8.5	7
D2030.14	6
set-16	9
Y116F11B.20	3
T25B9.9	6
C43D7.17	2
Y105E8A.28	3
Y41C4A.28	4
F31D4.11	283
ttn-1	4
Y113G7A.20	207
Y41C4A.23	5
K02E2.6	6
arid-1	6
B0393.3	8
Y51A2D.36	86
dpy-17	83
col-93	281
ego-2	7
unc-31	3
F07E5.5	6
prp-6	13
col-103	215
phat-5	6
col-113	73
C23H5.10	9
cyk-1	3
D1005.9	3
Y67D8B.3	3
T01D1.4	7
Y41E3.11	6
let-711	7
spe-15	6
Y59A8B.36	13
ZC449.4	6
