params: score_limit=16, eVal_upper_limit=4, align_min_limit=16, min_identity=60, matches=16, m_delta=19
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		266
col-34		454		0		293
let-2		309		1		216
col-157		145		1		293
col-117		120		0		287
col-3		120		0		287
col-139		120		0		230
emb-9		105		0		156
dpy-13		105		1		907
col-125		98		0		268
dpy-3		94		0		97
col-111		93		2		62
col-98		68		0		191
col-96		61		1		263
col-155		55		1		271
col-43		54		0		269
col-95		39		0		219
col-154	 	38		1		289
col-97		37		0		203
col-166		31		0		139
col-122		27		0		226
col-114		23		0		133
col-160		21		0		144
col-109 	19		0		110
col-107		17		0		115
col-85		13		0		183
col-44 		13		0		210
col-110		10		0		19
col-45		9		3		14
col-176		8		0		117
dpy-7		8		5		31
col-159	 	8		0		124
col-60		8		1		1
col-39		7		0		113
rol-8		7		0		134
col-119		7		0		239
col-38		7		0		63
col-183		6		0		193
col-48		6		0		121
col-101		5		0		118
col-63		5		0		69
col-180		5		0		108
col-170 	5		0		125
col-169 	5		0		111
col-167		4		0		121
col-165		4		0		72
col-164 	3		0		23
col-77		3		0		173
col-161		3		0		136
ram-2		3		0		106
col-88 		2		0		92
col-185 	2		1		184
col-126		2		0		103
col-127		2		0		103
col-2		2		0		218
col-90		2		0		80
col-187		2		1		0
col-83		2		1		0
col-13		2		0		114
col-146		2		0		80
col-171 	2		0		45
col-12		2		0		120
dpy-8		1		1		85
sqt-1		1		0		77
col-7		1		0		139
col-62		1		0		135
col-143		1		0		134
col-20		1		0		96
col-181 	1		0		119
col-178		1		0		127
col-73		1		0		189
col-147		1		0		119
col-149		1		0		58
gna-1 		1		0		0
bli-1		1		0		14
col-186		1		1		0
col-153		1		0		4
col-89		1		0		59
dpy-5		1		0		70
col-163		1		0		0
col-174		1		2		10
col-9		1		0		25
col-121		1		0		1
col-177		1		0		1
col-84		1		0		25
col-182		1		0		68
col-40		1		0		142
col-86		1		0		0
col-80		1		0		199
col-33		1		0		102
col-81		1		0		99
col-130		1		0		118
col-118		1		0		75
col-19		1		0		128
col-91		1		0		57
col-35		1		1		83
col-129		0		0		127
col-140		0		0		132
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		84
col-68		0		0		51
col-158		0		0		87
col-17		0		0		203
col-41 		0		0		109
dpy-9 		0		0		19
col-50		0		0		71
lon-3 		0		0		11
col-141		0		0		110
col-104		0		1		67
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		3
col-49		0		0		26
col-51		0		0		122
col-179 	0		0		120
col-36		0		0		62
col-14		0		0		96
col-142		0		0		179
col-151		0		0		1
sqt-2		0		0		68
col-61		0		0		8
col-79		0		0		22
col-148		0		0		4
col-102		0		0		91
col-175 	0		0		29
cle-1		0		0		4
col-131 	0		0		0
col-132 	0		0		58
col-138		0		0		126
col-128 	0		0		12
col-184 	0		0		89
col-152 	0		0		1
col-54 		0		0		36
col-172 	0		0		4
col-173 	0		0		6
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		5
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		2
col-135 	0		0		0
rol-6		0		0		65
col-78 		0		0		0
col-123 	0		0		30
col-72 		0		0		13
col-87 		0		0		2
col-37 		0		0			67
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y54B9A.1	269
let-526	13
Y105E8A.42	177
B0041.10	33
xpf-1	5
clec-223	7
col-55	31
clec-222	22
col-144	123
dpy-2	67
Y41C4A.23	1
smg-8	10
C15H9.4	5
